,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,MRG,REGULARITY,CHURN
19883,K > 24 month,4250.0,3.0,4251.0,1417.0,4.0,5303.0,299.0,NO,41,1
19884,K > 24 month,1000.0,1.0,1000.0,333.0,2.0,933.0,143.0,NO,2,1
19885,K > 24 month,3000.0,5.0,2543.0,848.0,8.0,5335.0,3.0,NO,8,1
19886,K > 24 month,1500.0,1.0,1280.0,427.0,2.0,35.0,3.0,NO,6,1
19887,I 18-21 month,500.0,1.0,500.0,167.0,1.0,42.0,8.0,NO,6,1
19888,K > 24 month,2000.0,4.0,2000.0,667.0,4.0,0.0,2.0,NO,5,1
19889,K > 24 month,200.0,1.0,200.0,67.0,1.0,0.0,0.0,NO,2,1
19890,K > 24 month,1000.0,2.0,782.0,261.0,2.0,79.0,7.0,NO,8,1
19891,K > 24 month,2500.0,5.0,2500.0,833.0,5.0,0.0,3.0,NO,19,1
19892,K > 24 month,1650.0,3.0,1871.0,624.0,6.0,0.0,7.0,NO,6,1
19893,K > 24 month,4000.0,5.0,4000.0,1333.0,6.0,2649.0,32.0,NO,38,1
19894,K > 24 month,2100.0,5.0,2270.0,757.0,9.0,0.0,530.0,NO,4,1
19895,K > 24 month,200.0,2.0,200.0,67.0,3.0,0.0,1.0,NO,5,1
19896,K > 24 month,900.0,4.0,1392.0,464.0,6.0,2997.0,5.0,NO,38,1
19897,K > 24 month,500.0,1.0,500.0,167.0,2.0,1024.0,0.0,NO,25,1
19898,K > 24 month,1100.0,3.0,1088.0,363.0,5.0,1022.0,4.0,NO,19,1
19899,K > 24 month,750.0,2.0,747.0,249.0,2.0,14.0,23.0,NO,7,1
19900,K > 24 month,10100.0,11.0,11180.0,3727.0,26.0,19658.0,83.0,NO,62,1
19901,K > 24 month,5500.0,7.0,5500.0,1833.0,13.0,7644.0,0.0,NO,29,1
19902,K > 24 month,1300.0,3.0,544.0,181.0,5.0,31.0,8.0,NO,26,1
19903,K > 24 month,6750.0,31.0,6950.0,2317.0,34.0,38.0,3680.0,NO,62,1
19904,K > 24 month,1000.0,2.0,1000.0,333.0,4.0,792.0,0.0,NO,1,1
19905,K > 24 month,3700.0,8.0,3690.0,1230.0,10.0,4713.0,7.0,NO,39,1
19906,K > 24 month,3300.0,9.0,3289.0,1096.0,9.0,4364.0,7.0,NO,16,1
19907,K > 24 month,1200.0,2.0,1189.0,396.0,4.0,189.0,4.0,NO,15,1
19908,K > 24 month,500.0,3.0,491.0,164.0,4.0,434.0,12.0,NO,23,1
19909,K > 24 month,2000.0,4.0,2000.0,667.0,4.0,907.0,72.0,NO,18,1
19910,K > 24 month,1750.0,6.0,1750.0,583.0,6.0,50.0,521.0,NO,7,1
19911,I 18-21 month,10100.0,55.0,10600.0,3533.0,60.0,3203.0,6.0,NO,49,1
19912,K > 24 month,3000.0,6.0,3430.0,1143.0,7.0,7720.0,1.0,NO,9,1
19913,K > 24 month,3000.0,1.0,3018.0,1006.0,2.0,19.0,1.0,NO,4,1
19914,K > 24 month,500.0,1.0,490.0,163.0,1.0,2185.0,1.0,NO,21,1
19915,K > 24 month,500.0,1.0,486.0,162.0,2.0,118.0,28.0,NO,2,1
19916,K > 24 month,1000.0,2.0,511.0,170.0,2.0,0.0,2.0,NO,15,1
19917,K > 24 month,7500.0,18.0,7499.0,2500.0,18.0,0.0,74.0,NO,59,1
19918,K > 24 month,5000.0,8.0,4819.0,1606.0,10.0,9921.0,0.0,NO,2,1
19919,K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,7.0,NO,1,1
19920,K > 24 month,2000.0,3.0,1989.0,663.0,5.0,1396.0,0.0,NO,20,1
19921,H 15-18 month,1750.0,4.0,1750.0,583.0,4.0,0.0,0.0,NO,29,1
19922,K > 24 month,1700.0,4.0,1757.0,586.0,7.0,112.0,0.0,NO,10,1
19923,K > 24 month,6500.0,16.0,6689.0,2230.0,17.0,520.0,690.0,NO,17,1
19924,K > 24 month,500.0,1.0,500.0,167.0,1.0,2023.0,21.0,NO,3,1
19925,K > 24 month,1000.0,2.0,1000.0,333.0,2.0,0.0,3.0,NO,29,1
19926,K > 24 month,1250.0,3.0,1241.0,414.0,4.0,724.0,5.0,NO,1,1
19927,K > 24 month,200.0,1.0,204.0,68.0,1.0,0.0,1.0,NO,2,1
19928,K > 24 month,1200.0,6.0,1200.0,400.0,6.0,596.0,3.0,NO,13,1
19929,K > 24 month,1500.0,2.0,1497.0,499.0,2.0,3076.0,2.0,NO,7,1
19930,K > 24 month,2500.0,4.0,2489.0,830.0,6.0,4102.0,14.0,NO,27,1
19931,K > 24 month,1700.0,4.0,1681.0,560.0,10.0,1980.0,0.0,NO,18,1
19932,K > 24 month,400.0,3.0,396.0,132.0,3.0,0.0,1.0,NO,12,1
19933,K > 24 month,100.0,1.0,100.0,33.0,1.0,64.0,6.0,NO,6,1
19934,K > 24 month,3000.0,6.0,2997.0,999.0,11.0,2934.0,4.0,NO,17,1
19935,K > 24 month,1500.0,3.0,1500.0,500.0,3.0,0.0,74.0,NO,12,1
19936,K > 24 month,23700.0,42.0,25939.0,8646.0,48.0,20563.0,88.0,NO,60,1
19937,K > 24 month,1500.0,3.0,2000.0,667.0,3.0,0.0,107.0,NO,12,1
19938,K > 24 month,2500.0,5.0,2500.0,833.0,5.0,0.0,1.0,NO,28,1
19939,K > 24 month,6000.0,6.0,5998.0,1999.0,6.0,0.0,44.0,NO,11,1
19940,K > 24 month,200.0,1.0,400.0,133.0,2.0,117.0,2.0,NO,15,1
19941,K > 24 month,500.0,1.0,499.0,166.0,3.0,731.0,2.0,NO,6,1
19942,K > 24 month,7400.0,22.0,7599.0,2533.0,24.0,7953.0,1.0,NO,36,1
19943,K > 24 month,2000.0,2.0,1991.0,664.0,3.0,3889.0,3.0,NO,8,1
19944,K > 24 month,32000.0,30.0,35241.0,11747.0,42.0,19877.0,78.0,NO,62,1
19945,K > 24 month,6550.0,14.0,7050.0,2350.0,19.0,10212.0,3.0,NO,29,1
19946,K > 24 month,4500.0,8.0,4494.0,1498.0,13.0,9165.0,2.0,NO,20,1
19947,K > 24 month,200.0,1.0,200.0,67.0,1.0,677.0,9.0,NO,9,1
19948,K > 24 month,2000.0,3.0,1997.0,666.0,3.0,3699.0,5.0,NO,19,1
19949,K > 24 month,3500.0,7.0,3243.0,1081.0,15.0,0.0,1473.0,NO,31,1
19950,K > 24 month,1200.0,6.0,904.0,301.0,6.0,578.0,1.0,NO,1,1
19951,K > 24 month,600.0,1.0,600.0,200.0,1.0,2.0,9.0,NO,1,1
19952,K > 24 month,3998.0,1.0,3998.0,1333.0,2.0,0.0,26.0,NO,3,1
19953,K > 24 month,700.0,2.0,684.0,228.0,2.0,0.0,15.0,NO,30,1
19954,K > 24 month,3000.0,6.0,3013.0,1004.0,9.0,3525.0,0.0,NO,4,1
19955,K > 24 month,500.0,1.0,493.0,164.0,2.0,1015.0,8.0,NO,4,1
19956,K > 24 month,4800.0,10.0,4801.0,1600.0,8.0,812.0,0.0,NO,1,1
19957,F 9-12 month,1500.0,3.0,1517.0,506.0,5.0,0.0,64.0,NO,19,1
19958,K > 24 month,1600.0,5.0,1600.0,533.0,6.0,89.0,255.0,NO,32,1
19959,K > 24 month,2000.0,4.0,2002.0,667.0,7.0,61.0,60.0,NO,7,1
19960,K > 24 month,300.0,3.0,295.0,98.0,3.0,9.0,0.0,NO,7,1
19961,K > 24 month,1500.0,3.0,1500.0,500.0,3.0,2019.0,2.0,NO,8,1
19962,H 15-18 month,5400.0,14.0,5073.0,1691.0,15.0,46.0,336.0,NO,16,1
19963,K > 24 month,1500.0,3.0,1500.0,500.0,3.0,132.0,16.0,NO,2,1
19964,I 18-21 month,500.0,2.0,501.0,167.0,3.0,0.0,111.0,NO,6,1
19965,K > 24 month,2000.0,4.0,2011.0,670.0,4.0,1025.0,996.0,NO,9,1
19966,K > 24 month,1000.0,2.0,1488.0,496.0,3.0,6158.0,34.0,NO,25,1
19967,K > 24 month,1800.0,5.0,1798.0,599.0,6.0,2772.0,11.0,NO,26,1
19968,K > 24 month,1000.0,2.0,984.0,328.0,4.0,0.0,3.0,NO,9,1
19969,K > 24 month,1800.0,6.0,1600.0,533.0,5.0,0.0,5.0,NO,9,1
19970,K > 24 month,9500.0,7.0,9488.0,3163.0,9.0,11711.0,5.0,NO,19,1
19971,K > 24 month,6500.0,11.0,6492.0,2164.0,31.0,3897.0,72.0,NO,52,1
19972,K > 24 month,4000.0,9.0,5311.0,1770.0,14.0,8338.0,0.0,NO,17,1
19973,K > 24 month,500.0,1.0,490.0,163.0,1.0,469.0,1.0,NO,30,1
19974,K > 24 month,17050.0,36.0,17564.0,5855.0,40.0,20147.0,28.0,NO,52,1
19975,K > 24 month,1200.0,3.0,1058.0,353.0,4.0,0.0,9.0,NO,23,1
19976,K > 24 month,6500.0,8.0,6500.0,2167.0,8.0,17.0,108.0,NO,36,1
19977,K > 24 month,3750.0,15.0,3979.0,1326.0,20.0,3450.0,3.0,NO,49,1
19978,K > 24 month,4550.0,12.0,4558.0,1519.0,15.0,450.0,37.0,NO,33,1
19979,K > 24 month,2500.0,3.0,3000.0,1000.0,5.0,712.0,8.0,NO,1,1
19980,K > 24 month,500.0,1.0,500.0,167.0,1.0,55.0,1.0,NO,4,1
19981,K > 24 month,5000.0,1.0,5000.0,1667.0,2.0,0.0,30.0,NO,27,1
19982,K > 24 month,12000.0,5.0,11217.0,3739.0,8.0,231.0,5.0,NO,7,1
19983,K > 24 month,1700.0,4.0,1705.0,568.0,4.0,2565.0,8.0,NO,27,1
19984,K > 24 month,300.0,2.0,293.0,98.0,3.0,1757.0,2.0,NO,21,1
19985,K > 24 month,500.0,1.0,490.0,163.0,1.0,0.0,1.0,NO,1,1
19986,K > 24 month,800.0,3.0,788.0,263.0,4.0,0.0,2.0,NO,4,1
19987,K > 24 month,1300.0,3.0,1301.0,434.0,3.0,726.0,0.0,NO,3,1
19988,K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,19.0,NO,15,1
19989,K > 24 month,1450.0,3.0,1452.0,484.0,4.0,0.0,6.0,NO,12,1
19990,K > 24 month,3000.0,6.0,2745.0,915.0,9.0,4555.0,1.0,NO,23,1
19991,K > 24 month,1200.0,3.0,1180.0,393.0,3.0,3238.0,0.0,NO,13,1
19992,K > 24 month,13500.0,26.0,14698.0,4899.0,31.0,8179.0,5.0,NO,28,1
19993,K > 24 month,12000.0,16.0,11888.0,3963.0,37.0,7287.0,3.0,NO,39,1
19994,K > 24 month,450.0,2.0,450.0,150.0,2.0,0.0,14.0,NO,4,1
19995,K > 24 month,750.0,1.0,754.0,251.0,4.0,137.0,0.0,NO,8,1
19996,K > 24 month,500.0,1.0,498.0,166.0,2.0,550.0,10.0,NO,20,1
19997,K > 24 month,1000.0,2.0,997.0,332.0,2.0,2364.0,0.0,NO,1,1
19998,K > 24 month,3600.0,10.0,3599.0,1200.0,11.0,0.0,780.0,NO,62,1
19999,K > 24 month,2000.0,4.0,2011.0,670.0,5.0,3969.0,4.0,NO,13,1
20000,I 18-21 month,2000.0,2.0,2140.0,713.0,7.0,1724.0,1.0,NO,10,1
20001,K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,26.0,NO,12,1
20002,K > 24 month,7500.0,13.0,7373.0,2458.0,17.0,10884.0,17.0,NO,18,1
20003,K > 24 month,700.0,6.0,688.0,229.0,6.0,583.0,9.0,NO,11,1
20004,I 18-21 month,500.0,1.0,500.0,167.0,1.0,133.0,84.0,NO,5,1
20005,K > 24 month,1400.0,7.0,1585.0,528.0,8.0,132.0,176.0,NO,13,1
20006,K > 24 month,350.0,3.0,143.0,48.0,2.0,0.0,0.0,NO,4,1
20007,K > 24 month,10000.0,7.0,9900.0,3300.0,9.0,15101.0,1.0,NO,37,1
20008,K > 24 month,2100.0,5.0,2199.0,733.0,8.0,89.0,23.0,NO,18,1
20009,K > 24 month,12100.0,20.0,12598.0,4199.0,21.0,45.0,281.0,NO,29,1
20010,K > 24 month,1400.0,2.0,1381.0,460.0,4.0,2682.0,141.0,NO,21,1
20011,K > 24 month,100.0,1.0,100.0,33.0,1.0,628.0,8.0,NO,10,1
20012,K > 24 month,1000.0,1.0,996.0,332.0,3.0,398.0,2.0,NO,4,1
20013,K > 24 month,20350.0,23.0,20751.0,6917.0,22.0,0.0,190.0,NO,60,1
20014,K > 24 month,4000.0,7.0,5059.0,1686.0,14.0,676.0,112.0,NO,44,1
20015,K > 24 month,500.0,1.0,499.0,166.0,1.0,0.0,2.0,NO,11,1
20016,K > 24 month,3000.0,1.0,3510.0,1170.0,3.0,1892.0,22.0,NO,22,1
20017,K > 24 month,3900.0,18.0,3900.0,1300.0,20.0,1591.0,5.0,NO,38,1
20018,K > 24 month,2000.0,3.0,1990.0,663.0,3.0,91.0,4.0,NO,1,1
20019,K > 24 month,17750.0,33.0,17760.0,5920.0,36.0,26993.0,34.0,NO,56,1
20020,K > 24 month,1500.0,4.0,1501.0,500.0,5.0,2.0,1.0,NO,6,1
20021,K > 24 month,3000.0,6.0,3002.0,1001.0,8.0,6059.0,0.0,NO,16,1
20022,K > 24 month,600.0,3.0,783.0,261.0,5.0,0.0,0.0,NO,53,1
20023,K > 24 month,500.0,1.0,490.0,163.0,3.0,0.0,6.0,NO,8,1
20024,K > 24 month,200.0,1.0,200.0,67.0,1.0,1160.0,7.0,NO,10,1
20025,K > 24 month,1900.0,7.0,1902.0,634.0,10.0,2.0,702.0,NO,19,1
20026,K > 24 month,300.0,2.0,282.0,94.0,2.0,0.0,0.0,NO,5,1
20027,K > 24 month,2400.0,8.0,2400.0,800.0,9.0,463.0,6.0,NO,33,1
20028,K > 24 month,7000.0,6.0,6992.0,2331.0,11.0,2714.0,109.0,NO,23,1
20029,K > 24 month,3000.0,1.0,6879.0,2293.0,5.0,832.0,0.0,NO,54,1
20030,K > 24 month,1000.0,2.0,999.0,333.0,3.0,8.0,3.0,NO,24,1
20031,I 18-21 month,1200.0,3.0,1200.0,400.0,4.0,2043.0,35.0,NO,1,1
20032,K > 24 month,1700.0,6.0,1697.0,566.0,8.0,2.0,5.0,NO,22,1
20033,K > 24 month,3000.0,6.0,3501.0,1167.0,8.0,3.0,22.0,NO,19,1
20034,K > 24 month,500.0,1.0,490.0,163.0,1.0,3098.0,0.0,NO,12,1
20035,K > 24 month,3500.0,3.0,3450.0,1150.0,3.0,17745.0,0.0,NO,32,1
20036,K > 24 month,4100.0,8.0,3510.0,1170.0,14.0,5371.0,10.0,NO,14,1
20037,K > 24 month,4500.0,8.0,5012.0,1671.0,11.0,0.0,469.0,NO,2,1
20038,K > 24 month,3500.0,5.0,4543.0,1514.0,11.0,4881.0,7.0,NO,23,1
20039,K > 24 month,7500.0,12.0,8510.0,2837.0,18.0,3918.0,151.0,NO,12,1
20040,K > 24 month,300.0,1.0,286.0,95.0,4.0,1.0,0.0,NO,3,1
20041,H 15-18 month,200.0,1.0,705.0,235.0,3.0,2020.0,26.0,NO,47,1
20042,K > 24 month,350.0,1.0,340.0,113.0,1.0,71.0,17.0,NO,4,1
20043,K > 24 month,1100.0,3.0,948.0,316.0,5.0,52.0,3.0,NO,18,1
20044,K > 24 month,2100.0,9.0,2100.0,700.0,9.0,2694.0,2.0,NO,33,1
20045,K > 24 month,14750.0,26.0,15250.0,5083.0,25.0,23.0,640.0,NO,8,1
20046,K > 24 month,1000.0,1.0,2000.0,667.0,4.0,3224.0,8.0,NO,43,1
20047,K > 24 month,7000.0,12.0,7000.0,2333.0,19.0,12819.0,12.0,NO,52,1
20048,K > 24 month,2000.0,3.0,1997.0,666.0,3.0,745.0,5.0,NO,20,1
20049,K > 24 month,1200.0,3.0,1214.0,405.0,3.0,2599.0,4.0,NO,2,1
20050,K > 24 month,800.0,6.0,402.0,134.0,6.0,0.0,0.0,NO,24,1
20051,K > 24 month,500.0,1.0,500.0,167.0,1.0,35.0,209.0,NO,26,1
20052,K > 24 month,500.0,1.0,500.0,167.0,1.0,1097.0,13.0,NO,16,1
20053,K > 24 month,1500.0,3.0,1480.0,493.0,4.0,3996.0,2.0,NO,5,1
20054,K > 24 month,9000.0,16.0,10003.0,3334.0,17.0,0.0,1.0,NO,14,1
20055,K > 24 month,1500.0,2.0,1500.0,500.0,2.0,4770.0,5.0,NO,6,1
20056,K > 24 month,1500.0,2.0,1498.0,499.0,3.0,961.0,0.0,NO,30,1
20057,K > 24 month,6000.0,6.0,8500.0,2833.0,10.0,5393.0,122.0,NO,31,1
20058,K > 24 month,500.0,1.0,500.0,167.0,1.0,173.0,12.0,NO,15,1
20059,H 15-18 month,500.0,1.0,499.0,166.0,2.0,97.0,4.0,NO,25,1
20060,K > 24 month,250.0,1.0,500.0,167.0,6.0,0.0,0.0,NO,27,1
20061,K > 24 month,4100.0,6.0,3398.0,1133.0,7.0,4399.0,0.0,NO,25,1
20062,K > 24 month,7000.0,5.0,6981.0,2327.0,8.0,15800.0,0.0,NO,33,1
20063,K > 24 month,1500.0,2.0,1499.0,500.0,4.0,1023.0,7.0,NO,17,1
20064,K > 24 month,700.0,2.0,998.0,333.0,5.0,22.0,4.0,NO,15,1
20065,K > 24 month,9250.0,18.0,9700.0,3233.0,19.0,110.0,156.0,NO,39,1
20066,G 12-15 month,500.0,1.0,500.0,167.0,1.0,0.0,16.0,NO,19,1
20067,K > 24 month,4000.0,7.0,3998.0,1333.0,12.0,0.0,10.0,NO,34,1
20068,K > 24 month,2500.0,5.0,2146.0,715.0,7.0,335.0,0.0,NO,6,1
20069,K > 24 month,13000.0,6.0,12639.0,4213.0,10.0,587.0,2.0,NO,11,1
20070,K > 24 month,2000.0,2.0,1980.0,660.0,2.0,1185.0,1.0,NO,34,1
20071,H 15-18 month,1500.0,3.0,1500.0,500.0,3.0,116.0,13.0,NO,4,1
20072,K > 24 month,1500.0,3.0,1483.0,494.0,4.0,1958.0,5.0,NO,35,1
20073,K > 24 month,11800.0,18.0,12296.0,4099.0,18.0,3606.0,48.0,NO,17,1
20074,G 12-15 month,4460.0,5.0,4471.0,1490.0,19.0,4193.0,1.0,NO,25,1
20075,K > 24 month,1500.0,3.0,1500.0,500.0,3.0,0.0,0.0,NO,8,1
20076,K > 24 month,2500.0,3.0,2499.0,833.0,3.0,0.0,11.0,NO,9,1
20077,K > 24 month,5500.0,2.0,5497.0,1832.0,7.0,1907.0,2.0,NO,7,1
20078,K > 24 month,500.0,1.0,700.0,233.0,4.0,0.0,15.0,NO,14,1
20079,K > 24 month,3500.0,12.0,3175.0,1058.0,13.0,0.0,73.0,NO,33,1
20080,K > 24 month,33800.0,46.0,36695.0,12232.0,79.0,8750.0,97.0,NO,58,1
20081,K > 24 month,3800.0,19.0,4049.0,1350.0,21.0,363.0,172.0,NO,1,1
20082,K > 24 month,1000.0,1.0,1000.0,333.0,1.0,1211.0,1.0,NO,7,1
20083,K > 24 month,400.0,1.0,393.0,131.0,2.0,0.0,5.0,NO,15,1
20084,K > 24 month,6400.0,14.0,6251.0,2084.0,14.0,3364.0,4.0,NO,52,1
20085,K > 24 month,650.0,3.0,633.0,211.0,3.0,1.0,1.0,NO,4,1
20086,K > 24 month,6100.0,17.0,6579.0,2193.0,30.0,13695.0,0.0,NO,40,1
20087,K > 24 month,500.0,1.0,1001.0,334.0,2.0,1.0,11.0,NO,17,1
20088,K > 24 month,1500.0,3.0,1490.0,497.0,4.0,5112.0,8.0,NO,7,1
20089,K > 24 month,1500.0,3.0,1501.0,500.0,4.0,1.0,9.0,NO,17,1
20090,K > 24 month,400.0,2.0,400.0,133.0,2.0,4.0,8.0,NO,10,1
20091,K > 24 month,11000.0,9.0,11538.0,3846.0,17.0,771.0,1.0,NO,25,1
20092,K > 24 month,2000.0,3.0,2490.0,830.0,4.0,4110.0,0.0,NO,26,1
20093,K > 24 month,5500.0,15.0,5444.0,1815.0,18.0,4011.0,168.0,NO,45,1
20094,K > 24 month,8400.0,18.0,8352.0,2784.0,19.0,87.0,71.0,NO,50,1
20095,K > 24 month,1200.0,3.0,1182.0,394.0,4.0,2272.0,7.0,NO,22,1
20096,K > 24 month,1250.0,3.0,1242.0,414.0,2.0,1700.0,53.0,NO,10,1
20097,K > 24 month,100.0,1.0,98.0,33.0,1.0,0.0,8.0,NO,24,1
20098,K > 24 month,5000.0,1.0,3002.0,1001.0,2.0,92.0,102.0,NO,22,1
20099,K > 24 month,700.0,2.0,686.0,229.0,2.0,0.0,9.0,NO,7,1
20100,K > 24 month,1300.0,5.0,1570.0,523.0,9.0,0.0,1.0,NO,6,1
20101,K > 24 month,100.0,1.0,83.0,28.0,1.0,469.0,8.0,NO,1,1
20102,K > 24 month,7200.0,16.0,7190.0,2397.0,23.0,13942.0,12.0,NO,57,1
20103,K > 24 month,2500.0,5.0,2510.0,837.0,7.0,204.0,50.0,NO,4,1
20104,K > 24 month,500.0,1.0,500.0,167.0,1.0,6.0,0.0,NO,16,1
20105,K > 24 month,500.0,1.0,501.0,167.0,1.0,10.0,4.0,NO,5,1
20106,K > 24 month,5000.0,9.0,6485.0,2162.0,14.0,2951.0,2.0,NO,19,1
20107,K > 24 month,4600.0,18.0,5451.0,1817.0,26.0,1127.0,48.0,NO,50,1
20108,K > 24 month,8500.0,22.0,8601.0,2867.0,26.0,5633.0,413.0,NO,36,1
20109,K > 24 month,1500.0,3.0,1500.0,500.0,3.0,106.0,11.0,NO,24,1
20110,K > 24 month,2500.0,5.0,2500.0,833.0,5.0,0.0,19.0,NO,9,1
20111,K > 24 month,1000.0,1.0,1010.0,337.0,2.0,2048.0,0.0,NO,18,1
20112,K > 24 month,3200.0,13.0,3200.0,1067.0,13.0,0.0,911.0,NO,61,1
20113,K > 24 month,8000.0,24.0,8551.0,2850.0,29.0,12038.0,6.0,NO,18,1
20114,K > 24 month,250.0,1.0,230.0,77.0,1.0,0.0,23.0,NO,4,1
20115,K > 24 month,700.0,2.0,1200.0,400.0,5.0,0.0,2.0,NO,8,1
20116,K > 24 month,500.0,1.0,500.0,167.0,1.0,28.0,0.0,NO,2,1
20117,K > 24 month,1500.0,3.0,1500.0,500.0,3.0,0.0,66.0,NO,20,1
20118,K > 24 month,1250.0,7.0,1239.0,413.0,10.0,140.0,10.0,NO,14,1
20119,K > 24 month,1000.0,2.0,998.0,333.0,2.0,9.0,2.0,NO,2,1
20120,K > 24 month,2200.0,6.0,2394.0,798.0,9.0,1459.0,404.0,NO,18,1
20121,K > 24 month,500.0,1.0,491.0,164.0,4.0,0.0,4.0,NO,17,1
20122,K > 24 month,1400.0,8.0,1105.0,368.0,10.0,709.0,0.0,NO,10,1
20123,K > 24 month,5000.0,1.0,4700.0,1567.0,12.0,173.0,138.0,NO,24,1
20124,K > 24 month,500.0,1.0,500.0,167.0,1.0,151.0,20.0,NO,3,1
20125,K > 24 month,700.0,2.0,500.0,167.0,1.0,0.0,13.0,NO,4,1
20126,K > 24 month,1000.0,1.0,1000.0,333.0,1.0,7856.0,0.0,NO,7,1
20127,K > 24 month,5000.0,1.0,4997.0,1666.0,1.0,1326.0,4.0,NO,7,1
20128,K > 24 month,8750.0,15.0,8746.0,2915.0,15.0,0.0,2185.0,NO,33,1
20129,K > 24 month,500.0,1.0,510.0,170.0,2.0,1543.0,32.0,NO,11,1
20130,K > 24 month,5100.0,7.0,4972.0,1657.0,17.0,10903.0,11.0,NO,32,1
20131,K > 24 month,800.0,3.0,800.0,267.0,4.0,442.0,0.0,NO,11,1
20132,K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,11.0,NO,9,1
20133,K > 24 month,14150.0,39.0,14650.0,4883.0,38.0,509.0,2182.0,NO,57,1
20134,K > 24 month,9850.0,21.0,10249.0,3416.0,26.0,7166.0,6.0,NO,40,1
20135,K > 24 month,500.0,1.0,296.0,99.0,3.0,0.0,1.0,NO,1,1
20136,K > 24 month,1000.0,4.0,1000.0,333.0,7.0,30.0,4.0,NO,23,1
20137,K > 24 month,800.0,4.0,800.0,267.0,4.0,6.0,15.0,NO,7,1
20138,K > 24 month,2500.0,3.0,2500.0,833.0,2.0,1041.0,50.0,NO,10,1
20139,K > 24 month,3800.0,24.0,4193.0,1398.0,26.0,1696.0,43.0,NO,41,1
20140,I 18-21 month,1000.0,2.0,1000.0,333.0,3.0,638.0,0.0,NO,12,1
20141,K > 24 month,500.0,1.0,31.0,10.0,2.0,689.0,0.0,NO,14,1
20142,K > 24 month,800.0,1.0,798.0,266.0,2.0,12.0,3.0,NO,10,1
20143,K > 24 month,400.0,4.0,400.0,133.0,4.0,1294.0,8.0,NO,18,1
20144,K > 24 month,1000.0,1.0,1000.0,333.0,1.0,961.0,0.0,NO,3,1
20145,K > 24 month,250.0,1.0,250.0,83.0,1.0,184.0,93.0,NO,6,1
20146,K > 24 month,17950.0,39.0,18448.0,6149.0,44.0,579.0,232.0,NO,61,1
20147,K > 24 month,900.0,4.0,875.0,292.0,4.0,4376.0,25.0,NO,8,1
20148,K > 24 month,500.0,1.0,1000.0,333.0,2.0,0.0,0.0,NO,5,1
20149,K > 24 month,500.0,3.0,486.0,162.0,4.0,0.0,58.0,NO,16,1
20150,K > 24 month,2000.0,2.0,1999.0,666.0,4.0,289.0,1.0,NO,5,1
20151,K > 24 month,600.0,2.0,592.0,197.0,3.0,1625.0,7.0,NO,10,1
20152,K > 24 month,400.0,4.0,400.0,133.0,8.0,57.0,1.0,NO,20,1
20153,K > 24 month,9200.0,6.0,9175.0,3058.0,9.0,14026.0,75.0,NO,45,1
20154,K > 24 month,1900.0,8.0,1735.0,578.0,9.0,2.0,10.0,NO,7,1
20155,K > 24 month,200.0,1.0,200.0,67.0,1.0,233.0,0.0,NO,6,1
20156,K > 24 month,2000.0,2.0,2001.0,667.0,12.0,1.0,0.0,NO,10,1
20157,K > 24 month,1000.0,1.0,1000.0,333.0,1.0,0.0,2.0,NO,7,1
20158,K > 24 month,1750.0,4.0,1732.0,577.0,6.0,907.0,115.0,NO,19,1
20159,K > 24 month,3500.0,5.0,3490.0,1163.0,5.0,2022.0,36.0,NO,7,1
20160,K > 24 month,500.0,1.0,488.0,163.0,1.0,292.0,10.0,NO,11,1
20161,K > 24 month,2500.0,4.0,2111.0,704.0,6.0,5949.0,3.0,NO,6,1
20162,K > 24 month,5000.0,7.0,5573.0,1858.0,13.0,6287.0,5.0,NO,23,1
20163,K > 24 month,3500.0,9.0,3484.0,1161.0,9.0,0.0,178.0,NO,41,1
20164,K > 24 month,1200.0,3.0,1200.0,400.0,4.0,140.0,0.0,NO,7,1
20165,K > 24 month,100.0,1.0,100.0,33.0,1.0,1024.0,1.0,NO,14,1
20166,K > 24 month,700.0,3.0,880.0,293.0,5.0,801.0,3.0,NO,23,1
20167,K > 24 month,400.0,3.0,400.0,133.0,3.0,19.0,5.0,NO,16,1
20168,K > 24 month,7800.0,17.0,7479.0,2493.0,22.0,12444.0,8.0,NO,54,1
20169,K > 24 month,6500.0,3.0,6501.0,2167.0,4.0,1266.0,1207.0,NO,27,1
20170,K > 24 month,500.0,1.0,486.0,162.0,1.0,31.0,1.0,NO,16,1
20171,K > 24 month,10600.0,34.0,11117.0,3706.0,33.0,14132.0,25.0,NO,37,1
20172,K > 24 month,3200.0,8.0,3170.0,1057.0,9.0,970.0,0.0,NO,11,1
20173,K > 24 month,700.0,2.0,634.0,211.0,4.0,562.0,1.0,NO,13,1
20174,G 12-15 month,700.0,3.0,901.0,300.0,6.0,0.0,29.0,NO,16,1
20175,K > 24 month,3500.0,6.0,3500.0,1167.0,7.0,0.0,1.0,NO,10,1
20176,K > 24 month,500.0,1.0,500.0,167.0,1.0,1524.0,0.0,NO,5,1
20177,I 18-21 month,700.0,2.0,898.0,299.0,2.0,0.0,12.0,NO,23,1
